2024-11-27-0001 40 4 6
2024-11-27-0002 40 4 13
2024-11-27-0003 40 4 19
2024-11-27-0004 20 2 20
2024-11-27-0005 40 4 20
2024-11-27-0006 20 2 3
2024-11-27-0007 20 2 10
2024-11-27-0008 20 2 9
2024-11-27-0009 20 2 7
2024-11-27-0010 20 2 5
2024-11-27-0011 20 2 5
2024-11-27-0012 20 2 14
2024-11-27-0013 40 4 19
2024-11-27-0014 20 2 17
2024-11-27-0015 40 4 14
2024-11-27-0016 20 2 19
2024-11-27-0017 20 2 12
2024-11-27-0018 40 4 10
2024-11-27-0019 20 2 2
2024-11-27-0020 20 2 20
2024-11-27-0021 40 4 13
2024-11-27-0022 40 4 8
2024-11-27-0023 40 4 1
2024-11-27-0024 40 4 6
2024-11-27-0025 20 2 5
2024-11-27-0026 40 4 9
2024-11-27-0027 40 4 0
2024-11-27-0028 40 4 2
2024-11-27-0029 20 2 18
2024-11-27-0030 40 4 10
2024-11-27-0031 40 4 9
2024-11-27-0032 40 4 11
2024-11-27-0033 20 2 15
2024-11-27-0034 20 2 20
2024-11-27-0035 40 4 15
2024-11-27-0036 20 2 13
2024-11-27-0037 40 4 5
2024-11-27-0038 40 4 11
2024-11-27-0039 40 4 19
2024-11-27-0040 40 4 16
2024-11-27-0041 20 2 13
2024-11-27-0042 20 2 8
2024-11-27-0043 40 4 9
2024-11-27-0044 40 4 20
2024-11-27-0045 20 2 12
2024-11-27-0046 20 2 3
2024-11-27-0047 20 2 8
2024-11-27-0048 20 2 11
2024-11-27-0049 40 4 21
2024-11-27-0050 40 4 6
2024-11-27-0051 20 2 5
2024-11-27-0052 20 2 1
2024-11-27-0053 40 4 22
2024-11-27-0054 20 2 13
2024-11-27-0055 40 4 19
2024-11-27-0056 20 2 18
2024-11-27-0057 20 2 3
2024-11-27-0058 40 4 5
2024-11-27-0059 40 4 17
2024-11-27-0060 20 2 8
2024-11-27-0061 40 4 13
2024-11-27-0062 20 2 2
2024-11-27-0063 20 2 16
2024-11-27-0064 20 2 3
2024-11-27-0065 40 4 6
2024-11-27-0066 40 4 15
2024-11-27-0067 20 2 19
2024-11-27-0068 40 4 8
2024-11-27-0069 20 2 3
2024-11-27-0070 20 2 14
2024-11-27-0071 40 4 13
2024-11-27-0072 40 4 7
2024-11-27-0073 20 2 7
2024-11-27-0074 20 2 2
2024-11-27-0075 40 4 13
2024-11-27-0076 20 2 9
2024-11-27-0077 20 2 11
2024-11-27-0078 20 2 16
2024-11-27-0079 40 4 22
2024-11-27-0080 40 4 9
2024-11-27-0081 40 4 2
2024-11-27-0082 20 2 16
2024-11-27-0083 20 2 17
2024-11-27-0084 20 2 19
2024-11-27-0085 40 4 4
2024-11-27-0086 20 2 19
2024-11-27-0087 40 4 19
2024-11-27-0088 20 2 19
2024-11-27-0089 40 4 6
2024-11-27-0090 40 4 3
2024-11-27-0091 20 2 11
2024-11-27-0092 40 4 4
2024-11-27-0093 20 2 9
2024-11-27-0094 20 2 5
2024-11-27-0095 20 2 13
2024-11-27-0096 20 2 12
2024-11-27-0097 40 4 19
2024-11-27-0098 40 4 3
2024-11-27-0099 40 4 1
2024-11-27-0100 20 2 4
2024-11-27-0101 40 4 21
2024-11-27-0102 20 2 18
2024-11-27-0103 40 4 18
2024-11-27-0104 40 4 15
2024-11-27-0105 40 4 16
2024-11-27-0106 40 4 0
2024-11-27-0107 40 4 1
2024-11-27-0108 20 2 13
2024-11-27-0109 40 4 20
2024-11-27-0110 20 2 3
2024-11-27-0111 40 4 16
2024-11-27-0112 20 2 11
2024-11-27-0113 40 4 3
2024-11-27-0114 40 4 7
2024-11-27-0115 20 2 1
2024-11-27-0116 20 2 17
2024-11-27-0117 20 2 15
2024-11-27-0118 40 4 5
2024-11-27-0119 20 2 18
2024-11-27-0120 40 4 21
2024-11-27-0121 40 4 12
2024-11-27-0122 20 2 9
2024-11-27-0123 40 4 5
2024-11-27-0124 40 4 18
2024-11-27-0125 20 2 12
2024-11-27-0126 40 4 12
2024-11-27-0127 40 4 0
2024-11-27-0128 40 4 0
2024-11-27-0129 40 4 0
2024-11-27-0130 40 4 20
2024-11-27-0131 40 4 11
2024-11-27-0132 20 2 8
2024-11-27-0133 20 2 10
2024-11-27-0134 40 4 21
2024-11-27-0135 40 4 3
2024-11-27-0136 40 4 7
2024-11-27-0137 20 2 0
2024-11-27-0138 20 2 15
2024-11-27-0139 20 2 3
2024-11-27-0140 40 4 4
2024-11-27-0141 20 2 13
2024-11-27-0142 20 2 3
2024-11-27-0143 20 2 19
2024-11-27-0144 20 2 14
2024-11-27-0145 20 2 2
2024-11-27-0146 40 4 8
2024-11-27-0147 20 2 12
2024-11-27-0148 20 2 15
2024-11-27-0149 40 4 10
2024-11-27-0150 20 2 17
2024-11-27-0151 20 2 9
2024-11-27-0152 20 2 4
2024-11-27-0153 20 2 17
2024-11-27-0154 20 2 17
2024-11-27-0155 40 4 18
2024-11-27-0156 20 2 20
2024-11-27-0157 20 2 11
2024-11-27-0158 20 2 16
2024-11-27-0159 40 4 2
2024-11-27-0160 40 4 9
2024-11-27-0161 40 4 10
2024-11-27-0162 20 2 7
2024-11-27-0163 40 4 0
2024-11-27-0164 40 4 17
2024-11-27-0165 40 4 16
2024-11-27-0166 20 2 0
2024-11-27-0167 40 4 13
2024-11-27-0168 40 4 6
2024-11-27-0169 20 2 10
2024-11-27-0170 20 2 12
2024-11-27-0171 20 2 17
2024-11-27-0172 20 2 5
2024-11-27-0173 40 4 14
2024-11-27-0174 40 4 8
2024-11-27-0175 40 4 16
2024-11-27-0176 40 4 13
2024-11-27-0177 40 4 15
2024-11-27-0178 20 2 19
2024-11-27-0179 40 4 1
2024-11-27-0180 40 4 1
2024-11-27-0181 20 2 19
2024-11-27-0182 20 2 17
2024-11-27-0183 40 4 7
2024-11-27-0184 40 4 11
2024-11-27-0185 20 2 10
2024-11-27-0186 20 2 3
2024-11-27-0187 20 2 12
2024-11-27-0188 20 2 9
2024-11-27-0189 40 4 5
2024-11-27-0190 20 2 16
2024-11-27-0191 40 4 14
2024-11-27-0192 40 4 8
2024-11-27-0193 20 2 2
2024-11-27-0194 20 2 14
2024-11-27-0195 20 2 16
2024-11-27-0196 40 4 18
2024-11-27-0197 40 4 4
2024-11-27-0198 20 2 13
2024-11-27-0199 20 2 10
2024-11-27-0200 20 2 18
2024-11-27-0201 40 4 12
2024-11-27-0202 20 2 14
2024-11-27-0203 20 2 20
2024-11-27-0204 20 2 5
2024-11-27-0205 20 2 16
2024-11-27-0206 20 2 5
2024-11-27-0207 20 2 7
2024-11-27-0208 40 4 18
2024-11-27-0209 40 4 1
2024-11-27-0210 20 2 2
2024-11-27-0211 40 4 4
2024-11-27-0212 40 4 12
2024-11-27-0213 20 2 18
2024-11-27-0214 20 2 14
2024-11-27-0215 20 2 15
2024-11-27-0216 20 2 4
2024-11-27-0217 40 4 14
2024-11-27-0218 20 2 5
2024-11-27-0219 40 4 15
2024-11-27-0220 40 4 2
2024-11-27-0221 40 4 20
2024-11-27-0222 40 4 12
2024-11-27-0223 20 2 1
2024-11-27-0224 40 4 20
2024-11-27-0225 40 4 18
2024-11-27-0226 40 4 15
2024-11-27-0227 40 4 15
2024-11-27-0228 40 4 11
2024-11-27-0229 40 4 17
2024-11-27-0230 20 2 16
2024-11-27-0231 40 4 0
2024-11-27-0232 20 2 2
2024-11-27-0233 40 4 4
2024-11-27-0234 20 2 11
2024-11-27-0235 40 4 18
2024-11-27-0236 40 4 10
2024-11-27-0237 20 2 3
2024-11-27-0238 40 4 4
2024-11-27-0239 20 2 11
2024-11-27-0240 40 4 22
2024-11-27-0241 20 2 12
2024-11-27-0242 20 2 1
2024-11-27-0243 40 4 18
2024-11-27-0244 20 2 8
2024-11-27-0245 20 2 20
2024-11-27-0246 20 2 4
2024-11-27-0247 20 2 18
2024-11-27-0248 40 4 19
2024-11-27-0249 40 4 19
2024-11-27-0250 40 4 12
2024-11-27-0251 40 4 9
2024-11-27-0252 20 2 6
2024-11-27-0253 40 4 13
2024-11-27-0254 20 2 2
2024-11-27-0255 40 4 4
2024-11-27-0256 20 2 17
2024-11-27-0257 40 4 20
2024-11-27-0258 40 4 3
2024-11-27-0259 20 2 6
2024-11-27-0260 20 2 8
2024-11-27-0261 40 4 1
2024-11-27-0262 40 4 12
2024-11-27-0263 40 4 16
2024-11-27-0264 40 4 10
2024-11-27-0265 40 4 18
2024-11-27-0266 20 2 0
2024-11-27-0267 40 4 1
2024-11-27-0268 40 4 8
2024-11-27-0269 20 2 13
2024-11-27-0270 40 4 18
2024-11-27-0271 40 4 10
